"Data Element (Field Name)","Type (min,max)","Format / Values"
":ref:`dfn-principal_diagnosis`

(principal_diagnosis)",string,"TODO

:101: Panic disorder
:102: Agoraphobia
:103: Social phobia
:104: Generalised anxiety disorder
:105: Obsessive-compulsive disorder
:106: Post-traumatic stress disorder
:107: Acute stress disorder
:108: Other anxiety disorder
:201: Major depressive disorder
:202: Dysthymia
:203: Depressive disorder NOS
:204: Bipolar disorder
:205: Cyclothymic disorder
:206: Other affective disorder
:301: Alcohol harmful use
:302: Alcohol dependence
:303: Other drug harmful use
:304: Other drug dependence
:305: Other substance use disorder
:401: Schizophrenia
:402: Schizoaffective disorder
:403: Brief psychotic disorder
:404: Other psychotic disorder
:501: Separation anxiety disorder
:502: Attention deficit hyperactivity disorder (ADHD)
:503: Conduct disorder
:504: Oppositional defiant disorder
:505: Pervasive developmental disorder
:506: Other disorder of childhood and adolescence
:601: Adjustment disorder
:602: Eating disorder
:603: Somatoform disorder
:604: Personality disorder
:605: Other mental disorder
:901: Anxiety symptoms
:902: Depressive symptoms
:903: Mixed anxiety and depressive symptoms
:904: Stress related
:905: Other
:999: Missing"
":ref:`dfn-additional_diagnosis`

(additional_diagnosis)

",string,"TODO"
":ref:`dfn-medication_antipsychotics`

(medication_antipsychotics)",string,"If ATAPS referral med_pheno is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_anxiolytics`

(medication_anxiolytics)",string,"If ATAPS referral med_benzo is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_hypnotics`

(medication_hypnotics)",string,"If ATAPS referral med_mood is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_antidepressants`

(medication_antidepressants)",string,"If ATAPS referral med_antidep is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_psychostimulants`

(medication_psychostimulants)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Unknown"
":ref:`dfn-referrer_profession`

(referrer_profession)",string,"TODO

:1: General Practitioner
:2: Psychiatrist
:3: Obstetrician
:4: Paediatrician
:5: Other Medical Specialist
:6: Midwife
:7: Maternal Health Nurse
:8: Psychologist
:9: Mental Health Nurse
:10: Social Worker
:11: Occupational therapist
:12: Aboriginal Health Worker
:13: Educational professional
:14: Early childhood service worker
:15: Other
:98: N/A - Self referral
:99: Not stated"
":ref:`dfn-referrer_organisation_type`

(referrer_organisation_type)",string,"TODO

:1: General Practice
:2: Medical Specialist Consulting Rooms
:3: Private practice
:4: Public mental health service
:5: Public Hospital
:6: Private Hospital
:7: Emergency Department
:8: Community Health Centre
:9: Drug and Alcohol Service
:10: Community Support Organisation NFP
:11: Indigenous Health Organisation
:12: Child and Maternal Health
:13: Nursing Service
:14: Telephone helpline
:15: Digital health service
:16: Family Support Service
:17: School
:18: Tertiary Education institution
:19: Housing service
:20: Centrelink
:21: Other
:98: N/A - Self referral
:99: Not stated"
":ref:`dfn-episode_tags`

(episode_tags)

",string,"No compariable concept in the ATAPS MDS. All records will be populated with the reserved tag

 !ATAPS"
