"Data Element (Field Name)","Type (min,max)","Format / Values"
":ref:`dfn-suicide_referral_flag`

(suicide_referral_flag)",string,"Derived from the ATAPS referral type.

Referrals with an ATAPS referral_type of either 'Suicide Prevention (3)' or
'ATSI Suicide prevention (11)' are coded as 

:1: Yes

All other referral types map to

:2: No"
":ref:`dfn-principal_diagnosis`

(principal_diagnosis)",string,"TODO

:101: Panic disorder
:102: Agoraphobia
:103: Social phobia
:104: Generalised anxiety disorder
:105: Obsessive-compulsive disorder
:106: Post-traumatic stress disorder
:107: Acute stress disorder
:108: Other anxiety disorder
:201: Major depressive disorder
:202: Dysthymia
:203: Depressive disorder NOS
:204: Bipolar disorder
:205: Cyclothymic disorder
:206: Other affective disorder
:301: Alcohol harmful use
:302: Alcohol dependence
:303: Other drug harmful use
:304: Other drug dependence
:305: Other substance use disorder
:401: Schizophrenia
:402: Schizoaffective disorder
:403: Brief psychotic disorder
:404: Other psychotic disorder
:501: Separation anxiety disorder
:502: Attention deficit hyperactivity disorder (ADHD)
:503: Conduct disorder
:504: Oppositional defiant disorder
:505: Pervasive developmental disorder
:506: Other disorder of childhood and adolescence
:601: Adjustment disorder
:602: Eating disorder
:603: Somatoform disorder
:604: Personality disorder
:605: Other mental disorder
:901: Anxiety symptoms
:902: Depressive symptoms
:903: Mixed anxiety and depressive symptoms
:904: Stress related
:905: Other
:999: Missing"
":ref:`dfn-additional_diagnosis`

(additional_diagnosis)

",string,"TODO"
":ref:`dfn-medication_antipsychotics`

(medication_antipsychotics)",string,"If ATAPS referral med_pheno is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_anxiolytics`

(medication_anxiolytics)",string,"If ATAPS referral med_benzo is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_hypnotics`

(medication_hypnotics)",string,"If ATAPS referral med_mood is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_antidepressants`

(medication_antidepressants)",string,"If ATAPS referral med_antidep is TRUE (or `1`) then

:1: Yes

Otherwise

:2: No
"
":ref:`dfn-medication_psychostimulants`

(medication_psychostimulants)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Unknown"
":ref:`dfn-referrer_profession`

(referrer_profession)",string,"Mapped from ATAPS referral referrer type:

========================================================  =======================================
ATAPS referral referrer type                              PMHC episode referrer profession
========================================================  =======================================
:1: GP                                                    :1: General Practitioner
:2: Psychiatrist                                          :2: Psychiatrist
:5: Case Manager                                          :10: Social Worker
:7: Midwife                                               :6: Midwife
:8: Obstetrician                                          :3: Obstetrician
:9: Maternal health nurse                                 :7: Maternal Health Nurse
:10: Self                                                 :98: N/A - Self referral
:11: Centrelink Social Workers                            :10: Social Worker
:14: Paediatrician                                        :4: Paediatrician
:17: Medical officers in NGOs                             :10: Social Worker
:18: School psychologist / counsellor                     :8: Psychologist
:19: Deputy principals or principals                      :13: Educational professional
:20: Director of early childhood services or equivalent   :14: Early childhood service worker
========================================================  =======================================

All other referrer types  are mapped to the referrer profession

:99: Not stated"
":ref:`dfn-referrer_organisation_type`

(referrer_organisation_type)",string,"Mapped from ATAPS referral referrer type:

======================================================================================  =======================================
ATAPS referral referrer type                                                            PMHC episode referrer organisation type
======================================================================================  =======================================
:3: Community Mental Health                                                             :8: Community Health Centre
:4: Emergency Department                                                                :7: Emergency Department
:6: NGO                                                                                 :10: Community Support Organisation NFP
:10: Self                                                                               :98: N/A - Self referral
:11: Centrelink Social Workers                                                          :20: Centrelink
:16: ATSI health organisation / ACCHS (Aboriginal Controlled Community Health Service)  :11: Indigenous Health Organisation
:17: Medical officers in NGOs                                                           :10: Community Support Organisation NFP
:18: School psychologist / counsellor                                                   :17: School
:19: Deputy principals or principals                                                    :17: School
:21: Drug and alcohol service                                                           :9: Drug and Alcohol Service
:22: Acute mental health team                                                           :4: Public mental health service
======================================================================================  =======================================

All other referrer types are mapped to the referrer organisation type

:99: Not stated"
":ref:`dfn-episode_tags`

(episode_tags)

",string,"No comparable concept in the ATAPS MDS. All records will be populated with the reserved tag

 !ATAPS"
